split_strategy,representation,model,validation_fold,train_rows,validation_rows,true_label,predicted_label,count
random_stratified,combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,age,36
random_stratified,combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,ethnicity,9
random_stratified,combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,gender,38
random_stratified,combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,not_cyberbullying,856
random_stratified,combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,other_cyberbullying,288
random_stratified,combined,logistic_regression_balanced,4,26295,8765,not_cyberbullying,religion,35
random_stratified,combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,age,16
random_stratified,combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,ethnicity,6
random_stratified,combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,gender,45
random_stratified,combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,not_cyberbullying,162
random_stratified,combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,other_cyberbullying,971
random_stratified,combined,logistic_regression_balanced,4,26295,8765,other_cyberbullying,religion,8
random_stratified,combined,logistic_regression_balanced,4,26295,8765,religion,age,0
random_stratified,combined,logistic_regression_balanced,4,26295,8765,religion,ethnicity,0
random_stratified,combined,logistic_regression_balanced,4,26295,8765,religion,gender,2
random_stratified,combined,logistic_regression_balanced,4,26295,8765,religion,not_cyberbullying,33
random_stratified,combined,logistic_regression_balanced,4,26295,8765,religion,other_cyberbullying,23
random_stratified,combined,logistic_regression_balanced,4,26295,8765,religion,religion,1537
